AlertSourceID,AlertSourceName,Description
1,Microsoft Defender for Endpoint,"Endpoint detection alerts including malware, suspicious processes, and exploit attempts."
2,Microsoft Defender for Identity,"Identity-based alerts such as credential theft, lateral movement, or abnormal authentication behavior."
3,Microsoft Defender for Office 365,"Email security alerts: phishing, malicious attachments, URL detonation, spoofing, and impersonation."
4,Azure AD Identity Protection,"Risky user logins, impossible travel events, and credential compromise indications."
5,CrowdStrike Falcon,"EDR alerts including behaviors, indicators of attack (IOA), and real-time threat detections."
6,Cisco Meraki Firewall,"Network traffic anomalies, blocked connections, IDS/IPS detections, and firewall policy violations."
7,Palo Alto Networks Firewall,"Threat logs, vulnerability exploit attempts, malware traffic, and policy breaches."
8,Proofpoint Email Security,"Phishing detections, malicious attachments, URL rewriting alerts, and user-reported suspicious emails."
9,KnowBe4 PhishER,Automated analysis of user-reported phishing emails with categorization and threat scoring.
10,Rapid7 InsightVM,"Vulnerability scan results including CVE detections, severity scoring, and remediation prioritization."
11,Nessus Scanner,"Detailed vulnerability findings including misconfigurations, outdated software, and exploitable services."
12,Qualys VMDR,"Vulnerability, policy compliance, and asset misconfiguration detections from scanning."
13,AWS GuardDuty,Cloud threat intelligence alerts including suspicious IAM activity and anomalous API calls.
14,AWS CloudTrail,"Logging of authentication, configuration changes, privilege escalations, and sensitive operations."
15,Azure Security Center,"Cloud workload protection alerts including misconfigurations, endpoint risks, and security recommendations."
16,Okta Identity Cloud,"Authentication anomalies, MFA failures, suspicious admin events, and identity threats."
17,Google Workspace Security,"Suspicious sign-ins, phishing detection, blocked apps, and file sharing risks."
18,Carbon Black Cloud,"Endpoint behavioral detections, ransomware prevention alerts, and threat analytics."
19,Suricata IDS,"Network intrusion detection alerts, signature matches, and packet-level threat insights."
20,Snort IDS,"Open-source IDS alerts including exploit attempts, reconnaissance traffic, and malware rules."
21,Sysmon,"Windows event logging of process creation, registry manipulation, and suspicious system behavior."
22,Windows Security Event Log,"Authentication logs, privilege elevation attempts, policy changes, and system access anomalies."
23,Zeek Network Monitor,"Network metadata detections including scanning, protocol misuse, and unusual communication patterns."
24,GitHub Security Alerts,"Secret exposure, dependency vulnerabilities, and code scanning results."
25,CrowdStrike LogScale (Humio),"High-volume log analytics generating alerts from correlations, anomalies, and custom rules."